State ,City,Location,Month,Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Ph,RainFall,CropType
Wisconsin,Milwaukee,43°04′N 87°58′W / 43.06°N 87.97°W,March,91,40,51,52.16534683,75,3,94.6,cotton
New Mexico,Albuquerque,35°06′N 106°39′W / 35.10°N 106.65°W,March,76,45,45,46.64594659,71,4,103.6,banana
California,Fresno,36°47′N 119°47′W / 36.78°N 119.79°W,March,79,83,69,64.37952835,85,6,148.7,papaya
Arizona,Tucson,32°09′N 110°52′W / 32.15°N 110.87°W,March,76,41,80,70.40902594,78,6,81.6,lentil
California,Sacramento,38°34′N 121°28′W / 38.57°N 121.47°W,March,90,48,75,46.29017042,69,5,69.3,rice
Arizona,Mesa,33°24′N 111°43′W / 33.40°N 111.72°W,March,92,83,49,75.74882159,83,3,42.8,chickpea
Missouri,Kansas City,39°07′N 94°34′W / 39.12°N 94.56°W,March,81,78,49,56.7267588,78,4,92,lentil
Georgia,Atlanta,33°46′N 84°25′W / 33.76°N 84.42°W,March,66,45,81,64.1733595,85,3,149.3,chickpea
Nebraska,Omaha,41°16′N 96°03′W / 41.26°N 96.05°W,March,68,62,85,45.77012853,75,5,93,jute
Colorado,Colorado Springs,38°52′N 104°46′W / 38.87°N 104.76°W,March,92,40,55,50.01750902,76,5,83.7,pomegranate
North Carolina,Raleigh,35°50′N 78°38′W / 35.83°N 78.64°W,March,79,60,63,77.62150994,67,7,124,orange
Virginia,Virginia Beach,36°47′N 76°02′W / 36.78°N 76.03°W,March,74,61,51,50.25487723,70,4,118.7,blackgram
California,Long Beach,33°47′N 118°10′W / 33.78°N 118.17°W,March,89,63,73,65.05027745,82,8,69.3,lentil
Florida,Miami,25°47′N 80°13′W / 25.78°N 80.21°W,March,85,58,74,61.84731134,82,7,41.6,jute
California,Oakland,37°46′N 122°14′W / 37.77°N 122.23°W,March,91,82,47,74.62806396,73,4,139.4,banana
Minnesota,Minneapolis,44°58′N 93°16′W / 44.96°N 93.27°W,March,73,45,51,72.85703354,74,4,117.3,watermelon
Oklahoma,Tulsa,36°08′N 95°54′W / 36.13°N 95.90°W,March,77,57,58,75.83266123,82,5,135.7,mungbean
California,Bakersfield,35°21′N 119°02′W / 35.35°N 119.04°W,March,89,40,40,64.16619581,70,8,137.7,mango
Kansas,Wichita,37°41′N 97°21′W / 37.69°N 97.35°W,March,65,54,52,77.35340902,67,7,72.8,pigeonpeas
Texas,Arlington,32°42′N 97°07′W / 32.70°N 97.12°W,March,76,53,84,78.52486555,69,4,135.2,grapes
Colorado,Aurora,39°42′N 104°43′W / 39.70°N 104.72°W,March,81,40,76,61.20953887,66,6,127.5,papaya
Florida,Tampa,27°58′N 82°28′W / 27.97°N 82.47°W,March,84,85,55,63.50779895,82,8,143.7,jute
Louisiana,New Orleans,30°03′N 89°56′W / 30.05°N 89.93°W,March,71,66,41,73.13352442,76,8,145.4,jute
Ohio,Cleveland,41°29′N 81°41′W / 41.48°N 81.68°W,March,93,54,68,65.30198531,69,5,74.9,watermelon
California,Anaheim,33°52′N 117°46′W / 33.86°N 117.76°W,March,70,43,49,56.07838177,65,3,111.1,cotton
Hawaii,Honolulu,21°19′N 157°51′W / 21.32°N 157.85°W,March,79,43,79,73.2450853,80,8,110,muskmelon
Nevada,Henderson,36°01′N 115°02′W / 36.01°N 115.04°W,March,73,52,68,72.59668971,74,8,112.7,cotton
California,Stockton,37°59′N 121°19′W / 37.98°N 121.31°W,March,65,45,53,77.54637411,67,8,100.6,banana
Kentucky,Lexington,38°02′N 84°28′W / 38.04°N 84.46°W,March,88,63,83,45.49862368,85,5,129,muskmelon
Texas,Corpus Christi,27°45′N 97°10′W / 27.75°N 97.17°W,March,74,46,62,49.34295305,83,6,106,banana
California,Riverside,33°56′N 117°23′W / 33.94°N 117.39°W,March,78,52,42,46.76296227,73,8,133.5,rice
California,Santa Ana,33°44′N 117°53′W / 33.74°N 117.88°W,March,84,49,80,46.88066808,75,8,66.7,pigeonpeas
Florida,Orlando,28°25′N 81°15′W / 28.41°N 81.25°W,March,80,48,46,62.4065721,70,7,149.9,maize
California,Irvine,33°41′N 117°46′W / 33.68°N 117.77°W,March,71,63,45,66.04704038,66,5,62.8,mungbean
Ohio,Cincinnati,39°08′N 84°31′W / 39.14°N 84.51°W,March,74,81,64,73.11658114,81,7,135.4,apple
New Jersey,Newark,40°43′N 74°10′W / 40.72°N 74.17°W,March,91,66,62,71.12545175,68,4,69.2,papaya
Minnesota,Saint Paul,44°57′N 93°06′W / 44.95°N 93.10°W,March,91,57,47,54.99147634,81,5,64.2,jute
Pennsylvania,Pittsburgh,40°26′N 79°59′W / 40.44°N 79.98°W,March,86,78,58,61.94529962,76,6,65,mungbean
North Carolina,Greensboro,36°06′N 79°50′W / 36.10°N 79.83°W,March,68,45,80,51.61367906,83,3,112.9,papaya
Missouri,St. Louis,38°38′N 90°14′W / 38.64°N 90.24°W,March,74,41,42,52.05823742,68,7,137.8,grapes
Nebraska,Lincoln,40°49′N 96°41′W / 40.81°N 96.68°W,March,85,64,76,53.29757016,71,3,131.9,grapes
Texas,Plano,33°03′N 96°45′W / 33.05°N 96.75°W,March,78,82,66,47.33646468,80,7,117.1,orange
Alaska,Anchorage,61°10′N 149°17′W / 61.17°N 149.28°W,March,82,76,49,58.13623697,78,7,131.9,grapes
North Carolina,Durham,35°59′N 78°54′W / 35.98°N 78.90°W,March,93,51,58,64.67875405,70,8,83.5,kidneybeans
New Jersey,Jersey City,40°43′N 74°04′W / 40.71°N 74.06°W,March,93,41,80,77.52157591,68,3,88.6,maize
Arizona,Chandler,33°17′N 111°51′W / 33.28°N 111.85°W,March,93,68,53,53.52898495,76,4,132,rice
California,Chula Vista,32°38′N 117°01′W / 32.63°N 117.02°W,March,70,41,54,71.51674198,81,3,82.5,maize
New York,Buffalo,42°53′N 78°52′W / 42.89°N 78.86°W,March,93,67,83,49.3590923,69,4,115.8,papaya
Nevada,North Las Vegas,36°17′N 115°05′W / 36.28°N 115.09°W,March,85,85,70,59.04234091,77,3,123.1,lentil
Arizona,Gilbert,33°19′N 111°44′W / 33.31°N 111.74°W,March,91,84,84,61.5709358,77,5,56.8,lentil
Wisconsin,Madison,43°05′N 89°26′W / 43.09°N 89.43°W,March,86,61,70,54.54695386,68,8,122.5,pigeonpeas
Nevada,Reno,39°33′N 119°51′W / 39.55°N 119.85°W,March,74,54,64,48.89501213,81,4,88.1,cotton
Ohio,Toledo,41°40′N 83°35′W / 41.66°N 83.58°W,March,77,48,76,75.53998064,67,5,106.4,jute
Indiana,Fort Wayne,41°05′N 85°08′W / 41.09°N 85.14°W,March,82,46,42,50.6711118,85,8,127.2,cotton
Texas,Lubbock,33°34′N 101°53′W / 33.57°N 101.89°W,March,73,59,51,63.20857185,77,4,53.9,mango
Florida,St. Petersburg,27°46′N 82°38′W / 27.77°N 82.64°W,March,76,84,51,70.99535735,81,4,145.4,papaya
Texas,Laredo,27°34′N 99°29′W / 27.56°N 99.49°W,March,86,80,81,65.3283553,72,3,55.7,mungbean
Texas,Irving,32°52′N 96°58′W / 32.86°N 96.97°W,March,86,54,48,72.30906293,75,5,114.6,papaya
Virginia,Chesapeake,36°41′N 76°18′W / 36.68°N 76.30°W,March,91,69,55,54.88456806,71,3,104.5,pomegranate
North Carolina,Winston–Salem,36°06′N 80°16′W / 36.10°N 80.26°W,March,68,84,72,56.34469515,82,8,86.4,banana
Arizona,Glendale,33°32′N 112°11′W / 33.53°N 112.19°W,March,69,42,49,46.46261405,79,7,141.9,maize
Arizona,Scottsdale,33°41′N 111°52′W / 33.68°N 111.86°W,March,91,72,40,55.53325502,67,4,73,papaya
Texas,Garland,32°55′N 96°38′W / 32.91°N 96.63°W,March,78,41,47,48.59290346,76,8,86.5,rice
Idaho,Boise,43°36′N 116°14′W / 43.60°N 116.23°W,March,80,50,54,76.75871973,79,4,43.4,banana
Virginia,Norfolk,36°55′N 76°14′W / 36.92°N 76.24°W,March,83,78,49,79.12402307,72,5,40.7,lentil
Washington,Spokane,47°40′N 117°26′W / 47.67°N 117.43°W,March,67,40,72,46.86104783,66,5,54.3,muskmelon
California,Fremont,37°29′N 121°56′W / 37.49°N 121.94°W,March,85,72,72,68.72090834,77,6,123,orange
Virginia,Richmond,37°32′N 77°29′W / 37.53°N 77.48°W,March,92,65,51,66.00009224,79,5,144.6,banana
California,Santa Clarita,34°25′N 118°29′W / 34.41°N 118.49°W,March,74,65,46,55.30977368,66,5,95.1,maize
California,San Bernardino,34°08′N 117°17′W / 34.14°N 117.29°W,March,77,84,74,56.73714926,76,5,138.5,chickpea
Louisiana,Baton Rouge,30°26′N 91°08′W / 30.44°N 91.13°W,March,67,68,61,78.72872132,69,8,114.1,mungbean
Florida,Hialeah,25°52′N 80°18′W / 25.87°N 80.30°W,March,87,61,52,73.19879032,74,4,64.9,banana
Washington,Tacoma,47°15′N 122°28′W / 47.25°N 122.46°W,March,88,49,54,58.75249117,78,6,78.3,lentil
California,Modesto,37°38′N 121°00′W / 37.64°N 121.00°W,March,78,77,55,61.26775295,77,6,92.5,mango
Florida,Port St. Lucie,27°17′N 80°23′W / 27.28°N 80.39°W,March,72,55,41,68.94116099,78,7,71.7,jute
Alabama,Huntsville,34°47′N 86°32′W / 34.78°N 86.53°W,March,93,85,61,69.13371011,84,8,74.1,blackgram
Iowa,Des Moines,41°34′N 93°37′W / 41.57°N 93.61°W,March,86,84,69,72.30807574,82,4,93.1,grapes
California,Moreno Valley,33°55′N 117°13′W / 33.92°N 117.21°W,March,91,51,77,46.29170145,67,5,103.4,watermelon
California,Fontana,34°07′N 117°28′W / 34.11°N 117.46°W,March,73,68,78,79.80559911,76,5,125.2,pigeonpeas
Texas,Frisco,33°10′N 96°49′W / 33.16°N 96.82°W,March,74,53,46,50.00368506,75,7,111.8,mango
New York,Rochester,43°10′N 77°37′W / 43.17°N 77.62°W,March,76,41,70,71.10160595,84,7,129.9,mothbeans
New York,Yonkers,40°57′N 73°52′W / 40.95°N 73.87°W,March,78,80,71,45.61093509,83,3,110.7,grapes
North Carolina,Fayetteville,35°05′N 78°58′W / 35.08°N 78.97°W,March,71,52,45,47.28741275,65,4,62.5,mango
Massachusetts,Worcester,42°16′N 71°49′W / 42.27°N 71.81°W,March,91,49,47,63.67239778,70,4,64.2,jute
Georgia,Columbus,32°31′N 84°52′W / 32.51°N 84.87°W,March,86,57,48,79.32292778,69,6,45.6,watermelon
Florida,Cape Coral,26°39′N 81°59′W / 26.65°N 81.99°W,March,89,81,56,72.7001023,84,4,80.3,mango
Texas,McKinney,33°12′N 96°40′W / 33.20°N 96.66°W,March,87,75,83,56.20949109,79,6,80,lentil
Arkansas,Little Rock,34°43′N 92°22′W / 34.72°N 92.36°W,March,93,62,54,77.89969658,67,7,104,lentil
California,Oxnard,34°12′N 119°13′W / 34.20°N 119.21°W,March,89,79,59,73.55618671,78,6,40.1,kidneybeans
Texas,Amarillo,35°12′N 101°50′W / 35.20°N 101.83°W,March,78,67,83,63.60962873,75,6,74.8,watermelon
Georgia,Augusta,33°22′N 82°04′W / 33.37°N 82.07°W,March,81,40,79,53.1070682,68,8,141.5,muskmelon
Utah,Salt Lake City,40°47′N 111°56′W / 40.78°N 111.93°W,March,74,44,80,51.82060424,70,6,130.3,rice
Alabama,Montgomery,32°21′N 86°16′W / 32.35°N 86.27°W,March,86,72,45,78.5110206,81,6,68.6,rice
Alabama,Birmingham,33°32′N 86°48′W / 33.53°N 86.80°W,March,92,75,62,56.56138663,66,7,73.3,orange
Michigan,Grand Rapids,42°58′N 85°40′W / 42.96°N 85.66°W,March,84,42,42,59.05468987,77,8,54.1,blackgram
Texas,Grand Prairie,32°41′N 97°01′W / 32.69°N 97.02°W,March,85,74,61,59.73850333,68,6,95.3,mango
Kansas,Overland Park,38°53′N 94°41′W / 38.89°N 94.69°W,March,67,47,50,61.94298945,84,7,115.5,rice
Florida,Tallahassee,30°28′N 84°15′W / 30.46°N 84.25°W,March,76,62,71,78.60841073,78,7,59.1,papaya
California,Huntington Beach,33°42′N 118°00′W / 33.70°N 118.00°W,March,87,62,62,54.89380828,79,4,131.9,apple
South Dakota,Sioux Falls,43°32′N 96°44′W / 43.54°N 96.73°W,March,80,49,46,49.41471406,77,6,87.1,lentil
Arizona,Peoria,33°47′N 112°19′W / 33.79°N 112.31°W,March,70,63,45,52.98066791,66,6,127.2,mango
Tennessee,Knoxville,35°58′N 83°57′W / 35.97°N 83.95°W,March,93,50,62,57.42750825,73,3,60.9,mango
California,Glendale,34°11′N 118°15′W / 34.18°N 118.25°W,March,90,67,59,67.93871304,65,3,103.5,pomegranate
Washington,Vancouver,45°38′N 122°36′W / 45.64°N 122.60°W,March,81,49,57,51.43776902,84,6,82.6,kidneybeans
Rhode Island,Providence,41°49′N 71°25′W / 41.82°N 71.42°W,March,66,81,48,56.75661787,79,7,107.9,muskmelon
Ohio,Akron,41°05′N 81°31′W / 41.08°N 81.52°W,March,80,40,59,77.14554657,68,6,49.9,banana
Texas,Brownsville,26°00′N 97°27′W / 26.00°N 97.45°W,March,67,77,62,55.68946815,65,3,99.1,jute
Alabama,Mobile,30°40′N 88°06′W / 30.67°N 88.10°W,March,90,58,41,64.29030756,81,6,108,mungbean
Virginia,Newport News,37°05′N 76°31′W / 37.08°N 76.52°W,March,83,61,42,69.75689013,76,8,103.8,lentil
Arizona,Tempe,33°23′N 111°56′W / 33.39°N 111.93°W,March,65,44,54,56.73111571,66,6,41.9,pigeonpeas
Louisiana,Shreveport,32°28′N 93°47′W / 32.47°N 93.79°W,March,71,62,80,66.98352497,76,8,112.5,banana
Tennessee,Chattanooga,35°04′N 85°15′W / 35.07°N 85.25°W,March,87,68,57,56.34206885,75,6,100.4,chickpea
Florida,Fort Lauderdale,26°08′N 80°09′W / 26.14°N 80.15°W,March,81,51,53,61.99568193,72,7,137.4,kidneybeans
Illinois,Aurora,41°46′N 88°17′W / 41.76°N 88.29°W,March,80,54,41,75.87388965,67,8,141.9,banana
California,Elk Grove,38°25′N 121°23′W / 38.41°N 121.38°W,March,83,80,69,51.9803257,85,7,102.5,banana
California,Ontario,34°02′N 117°36′W / 34.04°N 117.60°W,March,80,63,64,68.52418467,79,3,104.2,muskmelon
Oregon,Salem,44°55′N 123°01′W / 44.92°N 123.02°W,March,86,76,49,79.04169917,71,8,114.8,apple
North Carolina,Cary,35°47′N 78°49′W / 35.78°N 78.82°W,March,78,67,54,68.50110712,72,5,122.9,jute
California,Santa Rosa,38°27′N 122°43′W / 38.45°N 122.71°W,March,77,46,69,64.07636979,73,4,85.3,lentil
California,Rancho Cucamonga,34°07′N 117°34′W / 34.12°N 117.56°W,March,72,80,75,47.33242736,74,3,44.2,rice
Oregon,Eugene,44°04′N 123°07′W / 44.06°N 123.12°W,March,71,72,66,77.85779369,79,5,54.3,blackgram
California,Oceanside,33°13′N 117°19′W / 33.22°N 117.31°W,March,71,56,65,63.05430485,84,8,60,chickpea
Tennessee,Clarksville,36°34′N 87°21′W / 36.57°N 87.35°W,March,73,72,66,49.06669249,70,5,61.7,rice
California,Garden Grove,33°47′N 117°58′W / 33.78°N 117.96°W,March,73,50,70,58.36668697,71,3,105.1,maize
California,Lancaster,34°41′N 118°11′W / 34.69°N 118.18°W,March,79,54,76,79.21302012,79,3,51.7,grapes
Missouri,Springfield,37°11′N 93°17′W / 37.19°N 93.29°W,March,79,62,41,77.81946683,66,6,147.3,pomegranate
Florida,Pembroke Pines,26°01′N 80°20′W / 26.01°N 80.34°W,March,91,41,52,61.7941433,73,8,133.5,muskmelon
Colorado,Fort Collins,40°33′N 105°04′W / 40.55°N 105.06°W,March,90,52,59,47.94338367,76,4,130.2,lentil
California,Palmdale,34°35′N 118°07′W / 34.59°N 118.11°W,March,79,41,46,68.51586087,81,7,125.9,banana
California,Salinas,36°41′N 121°38′W / 36.69°N 121.63°W,March,79,82,72,51.72740423,73,4,131.3,pigeonpeas
California,Hayward,37°38′N 122°06′W / 37.63°N 122.10°W,March,74,73,83,46.13021255,68,3,85.2,rice
California,Corona,33°52′N 117°34′W / 33.86°N 117.57°W,March,67,43,73,71.50297802,74,4,127.1,kidneybeans
New Jersey,Paterson,40°55′N 74°10′W / 40.91°N 74.16°W,March,86,51,55,52.06058158,85,5,69.8,banana
Tennessee,Murfreesboro,35°51′N 86°25′W / 35.85°N 86.42°W,March,81,62,63,63.21178267,71,4,107,mungbean
Georgia,Macon,32°49′N 83°41′W / 32.81°N 83.69°W,March,87,54,49,68.44342119,81,6,64.8,grapes
Colorado,Lakewood,39°42′N 105°07′W / 39.70°N 105.12°W,March,76,51,47,77.23261859,70,5,89.4,jute
Texas,Killeen,31°05′N 97°44′W / 31.08°N 97.73°W,March,82,78,75,45.12332996,83,7,141.9,mothbeans
Massachusetts,Springfield,42°07′N 72°32′W / 42.12°N 72.54°W,March,81,61,47,74.46836006,67,7,40.4,maize
Virginia,Alexandria,38°49′N 77°05′W / 38.82°N 77.08°W,March,68,73,41,55.00409932,72,4,59.9,grapes
Kansas,Kansas City,39°07′N 94°44′W / 39.12°N 94.74°W,March,88,80,84,45.27988402,78,4,59.8,apple
California,Sunnyvale,37°23′N 122°02′W / 37.39°N 122.03°W,March,85,72,59,72.19803657,82,5,90.4,chickpea
Florida,Hollywood,26°02′N 80°10′W / 26.03°N 80.16°W,March,80,48,62,61.32120364,78,5,66,muskmelon
California,Roseville,38°46′N 121°19′W / 38.77°N 121.32°W,March,70,71,77,57.09944245,77,4,96.5,muskmelon
South Carolina,Charleston,32°50′N 79°58′W / 32.83°N 79.97°W,March,82,47,60,60.82905871,79,3,64.1,papaya
California,Escondido,33°08′N 117°04′W / 33.13°N 117.07°W,March,80,54,49,47.63999949,71,5,56.5,grapes
Illinois,Joliet,41°31′N 88°09′W / 41.52°N 88.15°W,March,80,52,56,45.896967,66,5,77.7,rice
Mississippi,Jackson,32°19′N 90°13′W / 32.32°N 90.21°W,March,85,48,55,76.46724231,78,7,74.5,maize
Washington,Bellevue,47°36′N 122°10′W / 47.60°N 122.16°W,March,77,69,54,45.75318606,79,4,71.9,cotton
Arizona,Surprise,33°40′N 112°27′W / 33.67°N 112.45°W,March,89,44,83,66.28209989,81,8,135.4,muskmelon
Illinois,Naperville,41°45′N 88°10′W / 41.75°N 88.16°W,March,69,70,66,70.35255218,77,4,88.5,mothbeans
Texas,Pasadena,29°39′N 95°09′W / 29.65°N 95.15°W,March,91,72,65,46.81574339,65,8,86.8,apple
California,Pomona,34°04′N 117°46′W / 34.06°N 117.76°W,March,79,50,82,67.31003262,76,6,70.9,rice
Connecticut,Bridgeport,41°11′N 73°12′W / 41.19°N 73.20°W,March,81,80,66,71.80762747,79,6,139.4,mungbean
Texas,Denton,33°13′N 97°08′W / 33.22°N 97.14°W,March,81,81,75,68.31891167,74,8,79.6,orange
Illinois,Rockford,42°16′N 89°04′W / 42.26°N 89.06°W,March,87,77,74,78.00010035,85,6,116.1,mango
Texas,Mesquite,32°46′N 96°35′W / 32.76°N 96.59°W,March,65,43,79,58.66218598,70,5,60.1,rice
Georgia,Savannah,32°00′N 81°09′W / 32.00°N 81.15°W,March,89,50,67,58.07468692,77,3,127.7,pigeonpeas
New York,Syracuse,43°02′N 76°08′W / 43.04°N 76.14°W,March,88,66,56,77.88966764,79,4,116.4,apple
Texas,McAllen,26°13′N 98°15′W / 26.22°N 98.25°W,March,78,56,61,72.24385967,70,7,106.2,pomegranate
California,Torrance,33°50′N 118°22′W / 33.83°N 118.36°W,March,83,63,84,48.87515659,75,4,96,cotton
Kansas,Olathe,38°53′N 94°49′W / 38.88°N 94.82°W,March,75,79,67,50.58070489,71,6,149.4,jute
California,Visalia,36°20′N 119°20′W / 36.33°N 119.33°W,March,72,67,50,48.1366857,72,6,122.6,cotton
Colorado,Thornton,39°55′N 104°56′W / 39.92°N 104.94°W,March,70,52,74,68.17054646,85,5,148.8,pomegranate
California,Fullerton,33°53′N 117°56′W / 33.89°N 117.93°W,March,76,64,69,51.5783938,78,6,109.1,blackgram
Florida,Gainesville,29°41′N 82°21′W / 29.68°N 82.35°W,March,73,61,78,74.82440417,80,5,118.8,muskmelon
Texas,Waco,31°34′N 97°11′W / 31.56°N 97.19°W,March,91,40,40,53.47775283,78,5,133.6,cotton
Utah,West Valley City,40°41′N 112°01′W / 40.69°N 112.01°W,March,83,81,73,62.68247864,84,8,117.7,cotton
Michigan,Warren,42°29′N 83°02′W / 42.49°N 83.03°W,March,70,80,60,61.65373063,82,4,115.7,grapes
New Jersey,Lakewood,40°05′N 74°12′W / 40.08°N 74.20°W,March,88,68,40,72.45797074,66,3,67.6,lentil
Virginia,Hampton,37°03′N 76°18′W / 37.05°N 76.30°W,March,90,60,52,76.24467676,78,7,140.7,muskmelon
Ohio,Dayton,39°47′N 84°12′W / 39.78°N 84.20°W,March,81,72,57,65.07723791,68,6,69.8,watermelon
South Carolina,Columbia,34°02′N 80°55′W / 34.04°N 80.91°W,March,71,74,56,49.54709558,67,7,127.8,papaya
California,Orange,33°47′N 117°52′W / 33.79°N 117.86°W,March,92,64,69,55.61352706,68,8,136.4,mango
Iowa,Cedar Rapids,41°58′N 91°41′W / 41.97°N 91.68°W,March,80,64,62,59.29334262,67,6,42.5,kidneybeans
Connecticut,Stamford,41°05′N 73°33′W / 41.08°N 73.55°W,March,89,70,43,61.00044249,79,8,70.2,pigeonpeas
California,Victorville,34°32′N 117°21′W / 34.53°N 117.35°W,March,66,46,43,76.47072319,83,8,130.4,blackgram
California,Pasadena,34°10′N 118°08′W / 34.16°N 118.14°W,March,81,68,59,55.42234167,68,3,121.8,mothbeans
New Jersey,Elizabeth,40°40′N 74°11′W / 40.67°N 74.19°W,March,70,43,40,46.58571338,68,7,96.9,pigeonpeas
Connecticut,New Haven,41°19′N 72°55′W / 41.31°N 72.92°W,March,68,75,75,57.0617836,77,7,94.1,muskmelon
Florida,Miramar,25°58′N 80°20′W / 25.97°N 80.34°W,March,76,79,58,46.15201709,70,3,58.8,pigeonpeas
Washington,Kent,47°23′N 122°13′W / 47.39°N 122.21°W,March,81,67,75,49.5173513,83,8,78.5,watermelon
Michigan,Sterling Heights,42°35′N 83°02′W / 42.58°N 83.03°W,March,68,69,77,56.37682552,75,8,62.7,apple
Texas,Carrollton,32°59′N 96°54′W / 32.99°N 96.90°W,March,89,83,50,47.63321306,83,8,95.7,jute
Florida,Coral Springs,26°16′N 80°16′W / 26.27°N 80.26°W,March,79,41,56,75.27443301,67,8,83,lentil
Texas,Midland,32°01′N 102°07′W / 32.02°N 102.11°W,March,82,75,72,70.1401311,82,8,70,pomegranate
Oklahoma,Norman,35°14′N 97°21′W / 35.24°N 97.35°W,March,79,67,52,69.91706845,84,8,117.7,pomegranate
Georgia,Athens,33°57′N 83°22′W / 33.95°N 83.37°W,March,71,71,54,59.29319895,76,3,49.9,mothbeans
California,Santa Clara,37°22′N 121°58′W / 37.36°N 121.97°W,March,80,58,64,78.36347431,84,6,78.1,apple
Missouri,Columbia,38°57′N 92°20′W / 38.95°N 92.33°W,March,82,50,60,49.85941918,67,3,57,papaya
North Dakota,Fargo,46°52′N 96°50′W / 46.86°N 96.83°W,March,82,73,62,59.35871925,67,8,63.4,apple
Texas,Pearland,29°34′N 95°19′W / 29.56°N 95.32°W,March,79,45,44,79.92260249,76,5,124.7,mungbean
California,Simi Valley,34°16′N 118°45′W / 34.27°N 118.75°W,March,75,72,80,50.25184546,85,3,103.8,blackgram
Idaho,Meridian,43°37′N 116°24′W / 43.61°N 116.40°W,March,89,42,66,58.32608365,82,4,118.4,kidneybeans
Kansas,Topeka,39°02′N 95°41′W / 39.03°N 95.69°W,March,75,74,65,55.46154502,83,6,128.9,maize
Pennsylvania,Allentown,40°35′N 75°29′W / 40.59°N 75.48°W,March,71,72,79,78.51060515,82,4,133.2,chickpea
California,Thousand Oaks,34°11′N 118°52′W / 34.19°N 118.87°W,March,80,62,48,69.27529568,83,4,42.2,maize
Texas,Abilene,32°27′N 99°44′W / 32.45°N 99.74°W,March,91,62,45,64.36022903,74,5,60.8,papaya
California,Vallejo,38°07′N 122°16′W / 38.11°N 122.26°W,March,78,51,84,49.48320854,70,6,59.1,watermelon
California,Concord,37°58′N 122°00′W / 37.97°N 122.00°W,March,73,81,78,66.45285216,67,5,71,blackgram
Texas,Round Rock,30°32′N 97°40′W / 30.53°N 97.66°W,March,66,84,84,48.35250611,80,4,117.9,blackgram
Colorado,Arvada,39°50′N 105°09′W / 39.83°N 105.15°W,March,88,64,82,65.75735925,75,7,102.4,kidneybeans
California,Clovis,36°50′N 119°41′W / 36.83°N 119.68°W,March,84,77,43,73.65681311,70,8,92.6,muskmelon
Florida,Palm Bay,27°58′N 80°40′W / 27.96°N 80.66°W,March,86,40,55,69.73861738,72,4,50.1,watermelon
Missouri,Independence,39°05′N 94°21′W / 39.09°N 94.35°W,March,80,72,73,47.74062544,75,8,135.6,blackgram
Louisiana,Lafayette,30°13′N 92°02′W / 30.21°N 92.03°W,March,68,48,65,51.55348523,78,5,66.8,grapes
Michigan,Ann Arbor,42°17′N 83°44′W / 42.28°N 83.73°W,March,80,76,82,62.18940347,70,3,90.1,pomegranate
Minnesota,Rochester,44°01′N 92°29′W / 44.02°N 92.48°W,March,70,41,50,65.1960688,76,5,141.8,grapes
Connecticut,Hartford,41°46′N 72°41′W / 41.77°N 72.68°W,March,83,40,50,58.04559278,74,4,109,mango
Texas,College Station,30°35′N 96°18′W / 30.59°N 96.30°W,March,89,74,60,72.05732971,82,6,104.2,cotton
California,Fairfield,38°16′N 122°02′W / 38.26°N 122.03°W,March,78,78,47,73.08733426,77,6,61,lentil
North Carolina,Wilmington,34°13′N 77°53′W / 34.21°N 77.89°W,March,78,65,46,70.42150011,82,4,77.9,lentil
South Carolina,North Charleston,32°55′N 80°04′W / 32.92°N 80.07°W,March,70,54,68,72.58117114,77,8,76.1,mango
Montana,Billings,45°47′N 108°33′W / 45.79°N 108.55°W,March,87,44,74,56.83746996,67,4,53.3,rice
Florida,West Palm Beach,26°45′N 80°08′W / 26.75°N 80.13°W,March,86,74,68,50.86752699,72,4,52,kidneybeans
California,Berkeley,37°52′N 122°18′W / 37.87°N 122.30°W,March,75,57,74,76.19795793,73,5,50.9,papaya
Massachusetts,Cambridge,42°23′N 71°07′W / 42.38°N 71.12°W,March,82,53,55,65.14878441,76,8,114.7,grapes
Florida,Clearwater,27°59′N 82°46′W / 27.98°N 82.77°W,March,69,79,58,55.22375075,69,4,108,orange
Utah,West Jordan,40°36′N 112°00′W / 40.60°N 112.00°W,March,78,59,84,47.54175675,83,3,52.8,banana
Indiana,Evansville,37°59′N 87°32′W / 37.99°N 87.53°W,March,84,55,51,45.94136001,72,4,134.2,orange
Texas,Richardson,32°58′N 96°43′W / 32.97°N 96.71°W,March,86,74,81,68.09009235,78,8,64.5,pigeonpeas
Oklahoma,Broken Arrow,36°02′N 95°47′W / 36.04°N 95.78°W,March,82,44,84,64.84551857,81,7,94.8,pomegranate
California,Richmond,37°57′N 122°22′W / 37.95°N 122.36°W,March,83,66,48,46.41977548,83,4,111.9,papaya
Texas,League City,29°29′N 95°07′W / 29.49°N 95.11°W,March,86,70,78,54.60886782,71,4,131.5,pomegranate
New Hampshire,Manchester,42°59′N 71°26′W / 42.98°N 71.44°W,March,89,69,75,54.76471494,77,3,86.5,pomegranate
Florida,Lakeland,28°04′N 81°57′W / 28.06°N 81.95°W,March,68,47,52,73.04619423,72,4,125.7,grapes
California,Carlsbad,33°08′N 117°17′W / 33.13°N 117.28°W,March,84,67,43,76.48271305,84,4,121.8,chickpea
California,Antioch,37°59′N 121°48′W / 37.98°N 121.80°W,March,65,84,50,56.82214792,70,4,58.1,chickpea
